id,type,timestamp,actor,detail
EVT-8e39f406-c7ef-4cff-a6c8-90caea55e059,MENU_PULL,2026-09-19T10:31:20.393000+00:00,test_runner,"Pulled from menus: Spice Hub Kitchen -> Paneer Butter Masala, Spice Hub Kitchen -> Palak Paneer, Spice Hub Kitchen -> Paneer Kathi Roll, Spice Hub Kitchen -> Paneer Tikka, Urban Tiffin -> Paneer Kathi Roll, Urban Tiffin -> Paneer Butter Masala, Urban Tiffin -> Palak Paneer, Urban Tiffin -> Paneer Tikka, Tandoori Nights -> Paneer Butter Masala, Tandoori Nights -> Paneer Tikka, Tandoori Nights -> Palak Paneer, Tandoori Nights -> Paneer Kathi Roll, Delhi Biryani Co. -> Paneer Butter Masala, Delhi Biryani Co. -> Paneer Kathi Roll, Delhi Biryani Co. -> Paneer Tikka, Delhi Biryani Co. -> Palak Paneer"
EVT-91bf483c-35b6-4162-bf5c-9028cca6c013,MENU_PULL,2026-09-19T10:26:36.976000+00:00,test_runner,"Pulled from menus: Spice Hub Kitchen -> Paneer Butter Masala, Spice Hub Kitchen -> Palak Paneer, Spice Hub Kitchen -> Paneer Kathi Roll, Spice Hub Kitchen -> Paneer Tikka, Urban Tiffin -> Paneer Kathi Roll, Urban Tiffin -> Paneer Butter Masala, Urban Tiffin -> Palak Paneer, Urban Tiffin -> Paneer Tikka, Tandoori Nights -> Paneer Butter Masala, Tandoori Nights -> Paneer Tikka, Tandoori Nights -> Palak Paneer, Tandoori Nights -> Paneer Kathi Roll, Delhi Biryani Co. -> Paneer Butter Masala, Delhi Biryani Co. -> Paneer Kathi Roll, Delhi Biryani Co. -> Paneer Tikka, Delhi Biryani Co. -> Palak Paneer"
EVT-95ed31ee-499e-4faf-8026-d70fc500ba39,MENU_RESTORE,2026-09-19T10:10:46.859000+00:00,test_runner,Restored 16 menu items
EVT-9a5c4a70-bf0b-42b7-84c4-79a5be7660b4,CUSTOMER_NOTIFICATION,2026-09-19T10:59:18.748000+00:00,web,SMS notifications for 1 orders
EVT-9e2478ee-ef5b-4afb-a491-51e4f6b02f4a,MENU_PULL,2026-09-19T09:06:24.607000+00:00,web,"Pulled from menus: Spice Hub Kitchen -> Paneer Butter Masala, Spice Hub Kitchen -> Palak Paneer, Spice Hub Kitchen -> Paneer Kathi Roll, Spice Hub Kitchen -> Paneer Tikka, Urban Tiffin -> Paneer Kathi Roll, Urban Tiffin -> Paneer Butter Masala, Urban Tiffin -> Palak Paneer, Urban Tiffin -> Paneer Tikka, Tandoori Nights -> Paneer Butter Masala, Tandoori Nights -> Paneer Tikka, Tandoori Nights -> Palak Paneer, Tandoori Nights -> Paneer Kathi Roll, Delhi Biryani Co. -> Paneer Butter Masala, Delhi Biryani Co. -> Paneer Kathi Roll, Delhi Biryani Co. -> Paneer Tikka, Delhi Biryani Co. -> Palak Paneer"
EVT-a70fcff1-d532-483e-9aef-2be7f51037d0,MENU_RESTORE,2026-09-19T10:26:36.984000+00:00,test_runner,Restored 16 menu items
EVT-a7379cc1-2551-461f-b8df-a089c70e1cbb,MENU_PULL,2026-09-19T10:13:49.764000+00:00,test_runner,"Pulled from menus: Spice Hub Kitchen -> Paneer Butter Masala, Spice Hub Kitchen -> Paneer Kathi Roll, Spice Hub Kitchen -> Palak Paneer, Spice Hub Kitchen -> Paneer Tikka, Urban Tiffin -> Paneer Kathi Roll, Urban Tiffin -> Paneer Butter Masala, Urban Tiffin -> Paneer Tikka, Urban Tiffin -> Palak Paneer, Tandoori Nights -> Paneer Tikka, Tandoori Nights -> Palak Paneer, Tandoori Nights -> Paneer Kathi Roll, Tandoori Nights -> Paneer Butter Masala, Delhi Biryani Co. -> Paneer Butter Masala, Delhi Biryani Co. -> Paneer Kathi Roll, Delhi Biryani Co. -> Paneer Tikka, Delhi Biryani Co. -> Palak Paneer"
EVT-acf1c77c-7630-4cfd-bb16-9a4d846cbe4a,STATUS_TRANSITION,2026-09-19T10:25:41.237000+00:00,mission_control,
EVT-af3dbe29-d9af-4093-928b-e6e54dcd6caf,KITCHEN_CONTAINMENT,2026-09-19T09:06:23.669000+00:00,web,"Containment 'HOLD': CK-001, CK-003, CK-005, CK-002"
EVT-b6ff6e5c-ede5-4c4d-8b28-1dfbb8786825,MENU_RESTORE,2026-09-19T10:03:12.051000+00:00,test_runner,Restored 16 menu items
EVT-ba479bc4-1bb6-454a-95f0-8ca738d81649,CUSTOMER_NOTIFICATION,2026-09-19T10:39:32.194000+00:00,web,SMS notifications for 15 orders
EVT-cded0e07-ad2c-43bd-b801-06c168294d44,CUSTOMER_NOTIFICATION,2026-09-19T10:24:28.250000+00:00,web,SMS notifications for 1 orders
EVT-cf49e862-34b2-4016-a708-634bacf29d8b,STATUS_TRANSITION,2026-09-19T09:06:46.996000+00:00,mission_control_ui,
EVT-dfa4ffcd-c9e0-4169-a1c2-d2fb3f3a21a3,MENU_PULL,2026-09-19T10:59:07.810000+00:00,web,"Pulled from menus: Spice Hub Kitchen -> Paneer Butter Masala, Spice Hub Kitchen -> Dal Makhani, Curry Cloud -> Dal Makhani, Curry Cloud -> Paneer Butter Masala"
EVT-e8bd2127-aa81-4395-a191-a1635043128d,MENU_RESTORE,2026-09-19T10:31:20.400000+00:00,test_runner,Restored 16 menu items
EVT-f00e4630-274b-4548-9ac9-6bb384fd951b,MENU_RESTORE,2026-09-19T10:13:49.780000+00:00,test_runner,Restored 16 menu items
EVT-f1719e5d-5890-4371-8069-7fa44a4dc743,MENU_PULL,2026-09-19T10:30:10.873000+00:00,test_runner,"Pulled from menus: Spice Hub Kitchen -> Paneer Butter Masala, Spice Hub Kitchen -> Palak Paneer, Spice Hub Kitchen -> Paneer Kathi Roll, Spice Hub Kitchen -> Paneer Tikka, Urban Tiffin -> Paneer Kathi Roll, Urban Tiffin -> Paneer Butter Masala, Urban Tiffin -> Palak Paneer, Urban Tiffin -> Paneer Tikka, Tandoori Nights -> Paneer Butter Masala, Tandoori Nights -> Paneer Tikka, Tandoori Nights -> Palak Paneer, Tandoori Nights -> Paneer Kathi Roll, Delhi Biryani Co. -> Paneer Butter Masala, Delhi Biryani Co. -> Paneer Kathi Roll, Delhi Biryani Co. -> Paneer Tikka, Delhi Biryani Co. -> Palak Paneer"
EVT-fea64c1c-6a52-4f1b-afbf-8ad014929452,MENU_RESTORE,2026-09-19T10:03:37.373000+00:00,test_runner,Restored 16 menu items
SEED-STATUS_TRANSITION-BATCH-CREAM-001,STATUS_TRANSITION,2025-09-09T20:00:00+05:30,ops@freshchain,
